17/02/06-23:10:06 | Phase 1 | BEGIN | Parameter initialization
17/02/06-23:26:31 | Phase 2 | < 17 , 100 > ACC[var,h]  | 0.965909090909091
17/02/06-23:26:31 | Phase 2 | < 17 , 100 > Zeros   | 0.855842375841541
17/02/06-23:26:31 | Phase 2 | < 17 , 100 > Num zeros  | 1
17/02/06-23:26:31 | Phase 2 | < 18 , 1 > NI_PLUS   | 99
17/02/06-23:26:31 | Phase 2 | < 18 , 1 > NI_MINUS   | 88
17/02/06-23:26:31 | Phase 2 | < 18 , 1 > h_plus   | 0.000199999999999978
17/02/06-23:26:31 | Phase 2 | < 18 , 1 > fraction   | 1.125
17/02/06-23:26:31 | Phase 2 | < 18 , 1 > h_minus   | 0.000224999999999975
17/02/06-23:26:32 | Phase 2 | < 18 , 1 > ACC[var,h]  | 0.929292929292929
17/02/06-23:26:32 | Phase 2 | < 18 , 1 > Zeros   | 0.29967500000003, 0.30012499999997, 0.466800000000065, 0.467199999999935, 0.927575000000189, 0.928024999999811, 0.933300000000421, 0.933699999999578
17/02/06-23:26:32 | Phase 2 | < 18 , 1 > Num zeros  | 8
17/02/06-23:26:32 | Phase 2 | < 18 , 1 > Best Policy           | 0.29967500000003, 0.30012499999997, 0.466800000000065, 0.467199999999935, 0.927575000000189, 0.928024999999811, 0.933300000000421, 0.933699999999578
17/02/06-23:26:32 | Phase 2 | < 18 , 1 > Best Policy (Metric)  | 0.929292929292929
17/02/06-23:26:32 | Phase 2 | < 18 , 1 > Best Policy (H +   )  | 0.000199999999999978
17/02/06-23:26:32 | Phase 2 | < 18 , 1 > Best Policy (H -   )  | 0.000224999999999975
17/02/06-23:26:32 | Phase 2 | < 18 , 2 > NI_PLUS   | 99
17/02/06-23:26:32 | Phase 2 | < 18 , 2 > NI_MINUS   | 88
17/02/06-23:26:32 | Phase 2 | < 18 , 2 > h_plus   | 0.00505909090909089
17/02/06-23:26:32 | Phase 2 | < 18 , 2 > fraction   | 1.125
17/02/06-23:26:32 | Phase 2 | < 18 , 2 > h_minus   | 0.00569147727272725
17/02/06-23:26:32 | Phase 2 | < 18 , 2 > ACC[var,h]  | 0.963383838383838
17/02/06-23:26:32 | Phase 2 | < 18 , 2 > Zeros   | 0.292440909090913, 0.298629411764703, 0.305591477272726, 0.930817647058799
17/02/06-23:26:32 | Phase 2 | < 18 , 2 > Num zeros  | 4
17/02/06-23:26:32 | Phase 2 | < 18 , 3 > NI_PLUS   | 99
17/02/06-23:26:32 | Phase 2 | < 18 , 3 > NI_MINUS   | 88
17/02/06-23:26:32 | Phase 2 | < 18 , 3 > h_plus   | 0.0099181818181818
17/02/06-23:26:32 | Phase 2 | < 18 , 3 > fraction   | 1.125
17/02/06-23:26:32 | Phase 2 | < 18 , 3 > h_minus   | 0.0111579545454545
17/02/06-23:26:32 | Phase 2 | < 18 , 3 > ACC[var,h]  | 0.945707070707071
17/02/06-23:26:32 | Phase 2 | < 18 , 3 > Zeros   | 0.298629411764705, 0.311057954545454, 0.876242045454546, 0.930817647058857
17/02/06-23:26:32 | Phase 2 | < 18 , 3 > Num zeros  | 4
17/02/06-23:26:32 | Phase 2 | < 18 , 4 > NI_PLUS   | 99
17/02/06-23:26:32 | Phase 2 | < 18 , 4 > NI_MINUS   | 88
17/02/06-23:26:32 | Phase 2 | < 18 , 4 > h_plus   | 0.0147772727272727
17/02/06-23:26:32 | Phase 2 | < 18 , 4 > fraction   | 1.125
17/02/06-23:26:32 | Phase 2 | < 18 , 4 > h_minus   | 0.0166244318181818
17/02/06-23:26:32 | Phase 2 | < 18 , 4 > ACC[var,h]  | 0.962121212121212
17/02/06-23:26:32 | Phase 2 | < 18 , 4 > Zeros   | 0.298629411764709, 0.316524431818182, 0.932595886077191
17/02/06-23:26:32 | Phase 2 | < 18 , 4 > Num zeros  | 3
17/02/06-23:26:32 | Phase 2 | < 18 , 5 > NI_PLUS   | 99
17/02/06-23:26:32 | Phase 2 | < 18 , 5 > NI_MINUS   | 88
17/02/06-23:26:32 | Phase 2 | < 18 , 5 > h_plus   | 0.0196363636363636
17/02/06-23:26:32 | Phase 2 | < 18 , 5 > fraction   | 1.125
17/02/06-23:26:32 | Phase 2 | < 18 , 5 > h_minus   | 0.0220909090909091
17/02/06-23:26:33 | Phase 2 | < 18 , 5 > ACC[var,h]  | 0.96969696969697
17/02/06-23:26:33 | Phase 2 | < 18 , 5 > Zeros   | 0.932595886077176, 0.963117647058825
17/02/06-23:26:33 | Phase 2 | < 18 , 5 > Num zeros  | 2
17/02/06-23:26:33 | Phase 2 | < 18 , 6 > NI_PLUS   | 99
17/02/06-23:26:33 | Phase 2 | < 18 , 6 > NI_MINUS   | 88
17/02/06-23:26:33 | Phase 2 | < 18 , 6 > h_plus   | 0.0244954545454545
17/02/06-23:26:33 | Phase 2 | < 18 , 6 > fraction   | 1.125
17/02/06-23:26:33 | Phase 2 | < 18 , 6 > h_minus   | 0.0275573863636363
17/02/06-23:26:33 | Phase 2 | < 18 , 6 > ACC[var,h]  | 0.968434343434343
17/02/06-23:26:33 | Phase 2 | < 18 , 6 > Zeros   | 0.859842613636364, 0.928699899470024, 0.963117647058826
17/02/06-23:26:33 | Phase 2 | < 18 , 6 > Num zeros  | 3
17/02/06-23:26:33 | Phase 2 | < 18 , 7 > NI_PLUS   | 99
17/02/06-23:26:33 | Phase 2 | < 18 , 7 > NI_MINUS   | 88
17/02/06-23:26:33 | Phase 2 | < 18 , 7 > h_plus   | 0.0293545454545454
17/02/06-23:26:33 | Phase 2 | < 18 , 7 > fraction   | 1.125
17/02/06-23:26:33 | Phase 2 | < 18 , 7 > h_minus   | 0.0330238636363636
17/02/06-23:26:33 | Phase 2 | < 18 , 7 > ACC[var,h]  | 0.977272727272727
17/02/06-23:26:33 | Phase 2 | < 18 , 7 > Zeros   | 0.928699899470038, 0.963117647058825
17/02/06-23:26:33 | Phase 2 | < 18 , 7 > Num zeros  | 2
17/02/06-23:26:33 | Phase 2 | < 18 , 8 > NI_PLUS   | 99
17/02/06-23:26:33 | Phase 2 | < 18 , 8 > NI_MINUS   | 88
17/02/06-23:26:33 | Phase 2 | < 18 , 8 > h_plus   | 0.0342136363636363
17/02/06-23:26:33 | Phase 2 | < 18 , 8 > fraction   | 1.125
17/02/06-23:26:33 | Phase 2 | < 18 , 8 > h_minus   | 0.0384903409090909
17/02/06-23:26:33 | Phase 2 | < 18 , 8 > ACC[var,h]  | 0.977272727272727
17/02/06-23:26:33 | Phase 2 | < 18 , 8 > Zeros   | 0.848909659090912, 0.928699899470036
17/02/06-23:26:33 | Phase 2 | < 18 , 8 > Num zeros  | 2
17/02/06-23:26:33 | Phase 2 | < 18 , 9 > NI_PLUS   | 99
17/02/06-23:26:33 | Phase 2 | < 18 , 9 > NI_MINUS   | 88
17/02/06-23:26:33 | Phase 2 | < 18 , 9 > h_plus   | 0.0390727272727273
17/02/06-23:26:33 | Phase 2 | < 18 , 9 > fraction   | 1.125
17/02/06-23:26:33 | Phase 2 | < 18 , 9 > h_minus   | 0.0439568181818182
17/02/06-23:26:34 | Phase 2 | < 18 , 9 > ACC[var,h]  | 0.981060606060606
17/02/06-23:26:34 | Phase 2 | < 18 , 9 > Zeros   | 0.930045369614101
17/02/06-23:26:34 | Phase 2 | < 18 , 9 > Num zeros  | 1
17/02/06-23:26:34 | Phase 2 | < 18 , 10 > NI_PLUS   | 99
17/02/06-23:26:34 | Phase 2 | < 18 , 10 > NI_MINUS   | 88
17/02/06-23:26:34 | Phase 2 | < 18 , 10 > h_plus   | 0.0439318181818182
17/02/06-23:26:34 | Phase 2 | < 18 , 10 > fraction   | 1.125
17/02/06-23:26:34 | Phase 2 | < 18 , 10 > h_minus   | 0.0494232954545454
17/02/06-23:26:34 | Phase 2 | < 18 , 10 > ACC[var,h]  | 0.95959595959596
17/02/06-23:26:34 | Phase 2 | < 18 , 10 > Zeros   | 0.510931818181817, 0.837976704545456, 0.933061497385687
17/02/06-23:26:34 | Phase 2 | < 18 , 10 > Num zeros  | 3
17/02/06-23:26:34 | Phase 2 | < 18 , 11 > NI_PLUS   | 99
17/02/06-23:26:34 | Phase 2 | < 18 , 11 > NI_MINUS   | 88
17/02/06-23:26:34 | Phase 2 | < 18 , 11 > h_plus   | 0.0487909090909091
17/02/06-23:26:34 | Phase 2 | < 18 , 11 > fraction   | 1.125
17/02/06-23:26:34 | Phase 2 | < 18 , 11 > h_minus   | 0.0548897727272727
17/02/06-23:26:34 | Phase 2 | < 18 , 11 > ACC[var,h]  | 0.96969696969697
17/02/06-23:26:34 | Phase 2 | < 18 , 11 > Zeros   | 0.515790909090909
17/02/06-23:26:34 | Phase 2 | < 18 , 11 > Num zeros  | 1
17/02/06-23:26:34 | Phase 2 | < 18 , 12 > NI_PLUS   | 99
17/02/06-23:26:34 | Phase 2 | < 18 , 12 > NI_MINUS   | 88
17/02/06-23:26:34 | Phase 2 | < 18 , 12 > h_plus   | 0.05365
17/02/06-23:26:34 | Phase 2 | < 18 , 12 > fraction   | 1.125
17/02/06-23:26:34 | Phase 2 | < 18 , 12 > h_minus   | 0.06035625
17/02/06-23:26:35 | Phase 2 | < 18 , 12 > ACC[var,h]  | 0.94949494949495
17/02/06-23:26:35 | Phase 2 | < 18 , 12 > Zeros   | 0.82704375
17/02/06-23:26:35 | Phase 2 | < 18 , 12 > Num zeros  | 1
17/02/06-23:26:35 | Phase 2 | < 18 , 13 > NI_PLUS   | 99
17/02/06-23:26:35 | Phase 2 | < 18 , 13 > NI_MINUS   | 88
17/02/06-23:26:35 | Phase 2 | < 18 , 13 > h_plus   | 0.0585090909090909
17/02/06-23:26:35 | Phase 2 | < 18 , 13 > fraction   | 1.125
17/02/06-23:26:35 | Phase 2 | < 18 , 13 > h_minus   | 0.0658227272727272
17/02/06-23:26:35 | Phase 2 | < 18 , 13 > ACC[var,h]  | 0.95959595959596
17/02/06-23:26:35 | Phase 2 | < 18 , 13 > Zeros   | 0.52550909090909, 0.821577272727274, 0.937727640442798
17/02/06-23:26:35 | Phase 2 | < 18 , 13 > Num zeros  | 3
17/02/06-23:26:35 | Phase 2 | < 18 , 14 > NI_PLUS   | 99
17/02/06-23:26:35 | Phase 2 | < 18 , 14 > NI_MINUS   | 88
17/02/06-23:26:35 | Phase 2 | < 18 , 14 > h_plus   | 0.0633681818181818
17/02/06-23:26:35 | Phase 2 | < 18 , 14 > fraction   | 1.125
17/02/06-23:26:35 | Phase 2 | < 18 , 14 > h_minus   | 0.0712892045454545
17/02/06-23:26:36 | Phase 2 | < 18 , 14 > ACC[var,h]  | 0.978535353535353
17/02/06-23:26:36 | Phase 2 | < 18 , 14 > Zeros   | 0.530368181818182, 0.935339643547039
17/02/06-23:26:36 | Phase 2 | < 18 , 14 > Num zeros  | 2
17/02/06-23:26:36 | Phase 2 | < 18 , 15 > NI_PLUS   | 99
17/02/06-23:26:36 | Phase 2 | < 18 , 15 > NI_MINUS   | 88
17/02/06-23:26:36 | Phase 2 | < 18 , 15 > h_plus   | 0.0682272727272727
17/02/06-23:26:36 | Phase 2 | < 18 , 15 > fraction   | 1.125
17/02/06-23:26:36 | Phase 2 | < 18 , 15 > h_minus   | 0.0767556818181818
17/02/06-23:26:36 | Phase 2 | < 18 , 15 > ACC[var,h]  | 0.978535353535353
17/02/06-23:26:36 | Phase 2 | < 18 , 15 > Zeros   | 0.535227272727273, 0.936795263016764
17/02/06-23:26:36 | Phase 2 | < 18 , 15 > Num zeros  | 2
17/02/06-23:26:36 | Phase 2 | < 18 , 16 > NI_PLUS   | 99
17/02/06-23:26:36 | Phase 2 | < 18 , 16 > NI_MINUS   | 88
17/02/06-23:26:36 | Phase 2 | < 18 , 16 > h_plus   | 0.0730863636363636
17/02/06-23:26:36 | Phase 2 | < 18 , 16 > fraction   | 1.125
17/02/06-23:26:36 | Phase 2 | < 18 , 16 > h_minus   | 0.0822221590909091
17/02/06-23:26:36 | Phase 2 | < 18 , 16 > ACC[var,h]  | 0.977272727272727
17/02/06-23:26:36 | Phase 2 | < 18 , 16 > Zeros   | 0.540086363636363, 0.939425716429451
17/02/06-23:26:36 | Phase 2 | < 18 , 16 > Num zeros  | 2
17/02/06-23:26:36 | Phase 2 | < 18 , 17 > NI_PLUS   | 99
17/02/06-23:26:36 | Phase 2 | < 18 , 17 > NI_MINUS   | 88
17/02/06-23:26:36 | Phase 2 | < 18 , 17 > h_plus   | 0.0779454545454545
17/02/06-23:26:36 | Phase 2 | < 18 , 17 > fraction   | 1.125
17/02/06-23:26:36 | Phase 2 | < 18 , 17 > h_minus   | 0.0876886363636363
17/02/06-23:26:37 | Phase 2 | < 18 , 17 > ACC[var,h]  | 0.987373737373737
17/02/06-23:26:37 | Phase 2 | < 18 , 17 > Zeros   | 0.942280919060053
17/02/06-23:26:37 | Phase 2 | < 18 , 17 > Num zeros  | 1
17/02/06-23:26:37 | Phase 2 | < 18 , 18 > NI_PLUS   | 99
17/02/06-23:26:37 | Phase 2 | < 18 , 18 > NI_MINUS   | 88
17/02/06-23:26:37 | Phase 2 | < 18 , 18 > h_plus   | 0.0828045454545454
17/02/06-23:26:37 | Phase 2 | < 18 , 18 > fraction   | 1.125
17/02/06-23:26:37 | Phase 2 | < 18 , 18 > h_minus   | 0.0931551136363636
17/02/06-23:26:37 | Phase 2 | < 18 , 18 > ACC[var,h]  | 0.880050505050505
17/02/06-23:26:37 | Phase 2 | < 18 , 18 > Zeros   | 0.206744886363636, 0.549804545454545, 0.945724240446963
17/02/06-23:26:37 | Phase 2 | < 18 , 18 > Num zeros  | 3
17/02/06-23:26:37 | Phase 2 | < 18 , 18 > Best Policy           | 0.206744886363636, 0.549804545454545, 0.945724240446963
17/02/06-23:26:37 | Phase 2 | < 18 , 18 > Best Policy (Metric)  | 0.880050505050505
17/02/06-23:26:37 | Phase 2 | < 18 , 18 > Best Policy (H +   )  | 0.0828045454545454
17/02/06-23:26:37 | Phase 2 | < 18 , 18 > Best Policy (H -   )  | 0.0931551136363636
17/02/06-23:26:37 | Phase 2 | < 18 , 19 > NI_PLUS   | 99
17/02/06-23:26:37 | Phase 2 | < 18 , 19 > NI_MINUS   | 88
17/02/06-23:26:37 | Phase 2 | < 18 , 19 > h_plus   | 0.0876636363636363
17/02/06-23:26:37 | Phase 2 | < 18 , 19 > fraction   | 1.125
17/02/06-23:26:37 | Phase 2 | < 18 , 19 > h_minus   | 0.0986215909090909
17/02/06-23:26:38 | Phase 2 | < 18 , 19 > ACC[var,h]  | 0.977272727272727
17/02/06-23:26:38 | Phase 2 | < 18 , 19 > Zeros   | 0.949172069275338
17/02/06-23:26:38 | Phase 2 | < 18 , 19 > Num zeros  | 1
17/02/06-23:26:38 | Phase 2 | < 18 , 20 > NI_PLUS   | 99
17/02/06-23:26:38 | Phase 2 | < 18 , 20 > NI_MINUS   | 88
17/02/06-23:26:38 | Phase 2 | < 18 , 20 > h_plus   | 0.0925227272727273
17/02/06-23:26:38 | Phase 2 | < 18 , 20 > fraction   | 1.125
17/02/06-23:26:38 | Phase 2 | < 18 , 20 > h_minus   | 0.104088068181818
17/02/06-23:26:38 | Phase 2 | < 18 , 20 > ACC[var,h]  | 0.892676767676768
17/02/06-23:26:38 | Phase 2 | < 18 , 20 > Zeros   | 0.195811931818182, 0.559522727272727, 0.95262370919553
17/02/06-23:26:38 | Phase 2 | < 18 , 20 > Num zeros  | 3
17/02/06-23:26:38 | Phase 2 | < 18 , 21 > NI_PLUS   | 99
17/02/06-23:26:38 | Phase 2 | < 18 , 21 > NI_MINUS   | 88
17/02/06-23:26:38 | Phase 2 | < 18 , 21 > h_plus   | 0.0973818181818182
17/02/06-23:26:38 | Phase 2 | < 18 , 21 > fraction   | 1.125
17/02/06-23:26:38 | Phase 2 | < 18 , 21 > h_minus   | 0.109554545454545
17/02/06-23:26:38 | Phase 2 | < 18 , 21 > ACC[var,h]  | 0.893939393939394
17/02/06-23:26:38 | Phase 2 | < 18 , 21 > Zeros   | 0.190345454545455, 0.564381818181818, 0.956078599707617
17/02/06-23:26:38 | Phase 2 | < 18 , 21 > Num zeros  | 3
17/02/06-23:26:38 | Phase 2 | < 18 , 22 > NI_PLUS   | 99
17/02/06-23:26:38 | Phase 2 | < 18 , 22 > NI_MINUS   | 88
17/02/06-23:26:38 | Phase 2 | < 18 , 22 > h_plus   | 0.102240909090909
17/02/06-23:26:38 | Phase 2 | < 18 , 22 > fraction   | 1.125
17/02/06-23:26:38 | Phase 2 | < 18 , 22 > h_minus   | 0.115021022727273
17/02/06-23:26:39 | Phase 2 | < 18 , 22 > ACC[var,h]  | 0.977272727272727
17/02/06-23:26:39 | Phase 2 | < 18 , 22 > Zeros   | 0.95953628469388
17/02/06-23:26:39 | Phase 2 | < 18 , 22 > Num zeros  | 1
17/02/06-23:26:39 | Phase 2 | < 18 , 23 > NI_PLUS   | 99
17/02/06-23:26:39 | Phase 2 | < 18 , 23 > NI_MINUS   | 88
17/02/06-23:26:39 | Phase 2 | < 18 , 23 > h_plus   | 0.1071
17/02/06-23:26:39 | Phase 2 | < 18 , 23 > fraction   | 1.125
17/02/06-23:26:39 | Phase 2 | < 18 , 23 > h_minus   | 0.1204875
17/02/06-23:26:39 | Phase 2 | < 18 , 23 > ACC[var,h]  | 0.943181818181818
17/02/06-23:26:39 | Phase 2 | < 18 , 23 > Zeros   | 0.5741, 0.962996389281262
17/02/06-23:26:39 | Phase 2 | < 18 , 23 > Num zeros  | 2
17/02/06-23:26:39 | Phase 2 | < 18 , 24 > NI_PLUS   | 99
17/02/06-23:26:39 | Phase 2 | < 18 , 24 > NI_MINUS   | 88
17/02/06-23:26:39 | Phase 2 | < 18 , 24 > h_plus   | 0.111959090909091
17/02/06-23:26:39 | Phase 2 | < 18 , 24 > fraction   | 1.125
17/02/06-23:26:39 | Phase 2 | < 18 , 24 > h_minus   | 0.125953977272727
17/02/06-23:26:40 | Phase 2 | < 18 , 24 > ACC[var,h]  | 0.887626262626263
17/02/06-23:26:40 | Phase 2 | < 18 , 24 > Zeros   | 0.173946022727273, 0.966458602577945
17/02/06-23:26:40 | Phase 2 | < 18 , 24 > Num zeros  | 2
17/02/06-23:26:40 | Phase 2 | < 18 , 25 > NI_PLUS   | 99
17/02/06-23:26:40 | Phase 2 | < 18 , 25 > NI_MINUS   | 88
17/02/06-23:26:40 | Phase 2 | < 18 , 25 > h_plus   | 0.116818181818182
17/02/06-23:26:40 | Phase 2 | < 18 , 25 > fraction   | 1.125
17/02/06-23:26:40 | Phase 2 | < 18 , 25 > h_minus   | 0.131420454545455
17/02/06-23:26:40 | Phase 2 | < 18 , 25 > ACC[var,h]  | 0.977272727272727
17/02/06-23:26:40 | Phase 2 | < 18 , 25 > Zeros   | 0.969922664619924
17/02/06-23:26:40 | Phase 2 | < 18 , 25 > Num zeros  | 1
17/02/06-23:26:40 | Phase 2 | < 18 , 26 > NI_PLUS   | 99
17/02/06-23:26:40 | Phase 2 | < 18 , 26 > NI_MINUS   | 88
17/02/06-23:26:40 | Phase 2 | < 18 , 26 > h_plus   | 0.121677272727273
17/02/06-23:26:40 | Phase 2 | < 18 , 26 > fraction   | 1.125
17/02/06-23:26:40 | Phase 2 | < 18 , 26 > h_minus   | 0.136886931818182
17/02/06-23:26:41 | Phase 2 | < 18 , 26 > ACC[var,h]  | 0.900252525252525
17/02/06-23:26:41 | Phase 2 | < 18 , 26 > Zeros   | 0.163013068181818, 0.588677272727273, 0.973388356379797
17/02/06-23:26:41 | Phase 2 | < 18 , 26 > Num zeros  | 3
17/02/06-23:26:41 | Phase 2 | < 18 , 27 > NI_PLUS   | 99
17/02/06-23:26:41 | Phase 2 | < 18 , 27 > NI_MINUS   | 88
17/02/06-23:26:41 | Phase 2 | < 18 , 27 > h_plus   | 0.126536363636364
17/02/06-23:26:41 | Phase 2 | < 18 , 27 > fraction   | 1.125
17/02/06-23:26:41 | Phase 2 | < 18 , 27 > h_minus   | 0.142353409090909
17/02/06-23:26:41 | Phase 2 | < 18 , 27 > ACC[var,h]  | 0.911616161616162
17/02/06-23:26:41 | Phase 2 | < 18 , 27 > Zeros   | 0.157546590909091, 0.593536363636364, 0.976855492033162
17/02/06-23:26:41 | Phase 2 | < 18 , 27 > Num zeros  | 3
17/02/06-23:26:41 | Phase 2 | < 18 , 28 > NI_PLUS   | 99
17/02/06-23:26:41 | Phase 2 | < 18 , 28 > NI_MINUS   | 88
17/02/06-23:26:41 | Phase 2 | < 18 , 28 > h_plus   | 0.131395454545455
17/02/06-23:26:41 | Phase 2 | < 18 , 28 > fraction   | 1.125
17/02/06-23:26:41 | Phase 2 | < 18 , 28 > h_minus   | 0.147819886363636
17/02/06-23:26:42 | Phase 2 | < 18 , 28 > ACC[var,h]  | 0.950757575757576
17/02/06-23:26:42 | Phase 2 | < 18 , 28 > Zeros   | 0.598395454545455, 0.980323912910556
17/02/06-23:26:42 | Phase 2 | < 18 , 28 > Num zeros  | 2
17/02/06-23:26:42 | Phase 2 | < 18 , 29 > NI_PLUS   | 99
17/02/06-23:26:42 | Phase 2 | < 18 , 29 > NI_MINUS   | 88
17/02/06-23:26:42 | Phase 2 | < 18 , 29 > h_plus   | 0.136254545454545
17/02/06-23:26:42 | Phase 2 | < 18 , 29 > fraction   | 1.125
17/02/06-23:26:42 | Phase 2 | < 18 , 29 > h_minus   | 0.153286363636364
17/02/06-23:26:42 | Phase 2 | < 18 , 29 > ACC[var,h]  | 0.962121212121212
17/02/06-23:26:42 | Phase 2 | < 18 , 29 > Zeros   | 0.603254545454545, 0.984045633714576
17/02/06-23:26:42 | Phase 2 | < 18 , 29 > Num zeros  | 2
17/02/06-23:26:42 | Phase 2 | < 18 , 30 > NI_PLUS   | 99
17/02/06-23:26:42 | Phase 2 | < 18 , 30 > NI_MINUS   | 88
17/02/06-23:26:42 | Phase 2 | < 18 , 30 > h_plus   | 0.141113636363636
17/02/06-23:26:42 | Phase 2 | < 18 , 30 > fraction   | 1.125
17/02/06-23:26:42 | Phase 2 | < 18 , 30 > h_minus   | 0.158752840909091
17/02/06-23:26:43 | Phase 2 | < 18 , 30 > ACC[var,h]  | 0.988636363636364
17/02/06-23:26:43 | Phase 2 | < 18 , 30 > Zeros   | 0.988051698884845
17/02/06-23:26:43 | Phase 2 | < 18 , 30 > Num zeros  | 1
17/02/06-23:26:43 | Phase 2 | < 18 , 31 > NI_PLUS   | 99
17/02/06-23:26:43 | Phase 2 | < 18 , 31 > NI_MINUS   | 88
17/02/06-23:26:43 | Phase 2 | < 18 , 31 > h_plus   | 0.145972727272727
17/02/06-23:26:43 | Phase 2 | < 18 , 31 > fraction   | 1.125
17/02/06-23:26:43 | Phase 2 | < 18 , 31 > h_minus   | 0.164219318181818
17/02/06-23:26:43 | Phase 2 | < 18 , 31 > ACC[var,h]  | 0.988636363636364
17/02/06-23:26:43 | Phase 2 | < 18 , 31 > Zeros   | 0.992094794428226
17/02/06-23:26:43 | Phase 2 | < 18 , 31 > Num zeros  | 1
17/02/06-23:26:43 | Phase 2 | < 18 , 32 > NI_PLUS   | 99
17/02/06-23:26:43 | Phase 2 | < 18 , 32 > NI_MINUS   | 88
17/02/06-23:26:43 | Phase 2 | < 18 , 32 > h_plus   | 0.150831818181818
17/02/06-23:26:43 | Phase 2 | < 18 , 32 > fraction   | 1.125
17/02/06-23:26:43 | Phase 2 | < 18 , 32 > h_minus   | 0.169685795454545
17/02/06-23:26:44 | Phase 2 | < 18 , 32 > ACC[var,h]  | 0.939393939393939
17/02/06-23:26:44 | Phase 2 | < 18 , 32 > Zeros   | 0.130214204545455, 0.617831818181818, 0.996135381736477
17/02/06-23:26:44 | Phase 2 | < 18 , 32 > Num zeros  | 3
17/02/06-23:26:44 | Phase 2 | < 18 , 33 > NI_PLUS   | 99
17/02/06-23:26:44 | Phase 2 | < 18 , 33 > NI_MINUS   | 88
17/02/06-23:26:44 | Phase 2 | < 18 , 33 > h_plus   | 0.155690909090909
17/02/06-23:26:44 | Phase 2 | < 18 , 33 > fraction   | 1.125
17/02/06-23:26:44 | Phase 2 | < 18 , 33 > h_minus   | 0.175152272727273
17/02/06-23:26:44 | Phase 2 | < 18 , 33 > ACC[var,h]  | 1
17/02/06-23:26:44 | Phase 2 | < 18 , 33 > Zeros   | 
17/02/06-23:26:44 | Phase 2 | < 18 , 33 > Num zeros  | 0
17/02/06-23:26:44 | Phase 2 | < 18 , 34 > NI_PLUS   | 99
17/02/06-23:26:44 | Phase 2 | < 18 , 34 > NI_MINUS   | 88
17/02/06-23:26:44 | Phase 2 | < 18 , 34 > h_plus   | 0.16055
17/02/06-23:26:44 | Phase 2 | < 18 , 34 > fraction   | 1.125
17/02/06-23:26:44 | Phase 2 | < 18 , 34 > h_minus   | 0.18061875
17/02/06-23:26:45 | Phase 2 | < 18 , 34 > ACC[var,h]  | 0.95959595959596
17/02/06-23:26:45 | Phase 2 | < 18 , 34 > Zeros   | 0.11928125, 0.62755
17/02/06-23:26:45 | Phase 2 | < 18 , 34 > Num zeros  | 2
17/02/06-23:26:45 | Phase 2 | < 18 , 35 > NI_PLUS   | 99
17/02/06-23:26:45 | Phase 2 | < 18 , 35 > NI_MINUS   | 88
17/02/06-23:26:45 | Phase 2 | < 18 , 35 > h_plus   | 0.165409090909091
17/02/06-23:26:45 | Phase 2 | < 18 , 35 > fraction   | 1.125
17/02/06-23:26:45 | Phase 2 | < 18 , 35 > h_minus   | 0.186085227272727
17/02/06-23:26:45 | Phase 2 | < 18 , 35 > ACC[var,h]  | 0.984848484848485
17/02/06-23:26:45 | Phase 2 | < 18 , 35 > Zeros   | 0.113814772727273
17/02/06-23:26:45 | Phase 2 | < 18 , 35 > Num zeros  | 1
17/02/06-23:26:45 | Phase 2 | < 18 , 36 > NI_PLUS   | 99
17/02/06-23:26:45 | Phase 2 | < 18 , 36 > NI_MINUS   | 88
17/02/06-23:26:45 | Phase 2 | < 18 , 36 > h_plus   | 0.170268181818182
17/02/06-23:26:45 | Phase 2 | < 18 , 36 > fraction   | 1.125
17/02/06-23:26:45 | Phase 2 | < 18 , 36 > h_minus   | 0.191551704545455
17/02/06-23:26:46 | Phase 2 | < 18 , 36 > ACC[var,h]  | 0.960858585858586
17/02/06-23:26:46 | Phase 2 | < 18 , 36 > Zeros   | 0.108348295454546, 0.278300000000001, 0.637268181818182
17/02/06-23:26:46 | Phase 2 | < 18 , 36 > Num zeros  | 3
17/02/06-23:26:46 | Phase 2 | < 18 , 37 > NI_PLUS   | 99
17/02/06-23:26:46 | Phase 2 | < 18 , 37 > NI_MINUS   | 88
17/02/06-23:26:46 | Phase 2 | < 18 , 37 > h_plus   | 0.175127272727273
17/02/06-23:26:46 | Phase 2 | < 18 , 37 > fraction   | 1.125
17/02/06-23:26:46 | Phase 2 | < 18 , 37 > h_minus   | 0.197018181818182
17/02/06-23:26:46 | Phase 2 | < 18 , 37 > ACC[var,h]  | 0.960858585858586
17/02/06-23:26:46 | Phase 2 | < 18 , 37 > Zeros   | 0.102881818181818, 0.278299999999999, 0.642127272727273
17/02/06-23:26:46 | Phase 2 | < 18 , 37 > Num zeros  | 3
17/02/06-23:26:46 | Phase 2 | < 18 , 38 > NI_PLUS   | 99
17/02/06-23:26:46 | Phase 2 | < 18 , 38 > NI_MINUS   | 88
17/02/06-23:26:46 | Phase 2 | < 18 , 38 > h_plus   | 0.179986363636364
17/02/06-23:26:46 | Phase 2 | < 18 , 38 > fraction   | 1.125
17/02/06-23:26:46 | Phase 2 | < 18 , 38 > h_minus   | 0.202484659090909
17/02/06-23:26:47 | Phase 2 | < 18 , 38 > ACC[var,h]  | 0.94949494949495
17/02/06-23:26:47 | Phase 2 | < 18 , 38 > Zeros   | 0.097415340909091, 0.278299999999998, 0.646986363636364
